==============================================================
  FULL EXPERIMENT SUMMARY (MERGED) — Fri Apr 10 01:09:51 EDT 2026
  17/18 experiments (excluding fov7_30c8p_r70_discriminative)
==============================================================

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
semantic_lna_single        k2=0     | 0.922927 +/- 0.032934 | 0.888167 +/- 0.023094 | 0.027497 +/- 0.024182
semantic_lna_single        k2=1     | 0.953178 +/- 0.016618 | 0.921333 +/- 0.018536 | 0.049318 +/- 0.011737
semantic_lna_single        k2=2     | 0.969194 +/- 0.004412 | 0.924500 +/- 0.018755 | 0.049874 +/- 0.011097
semantic_lna_single        k2=3     | 0.974772 +/- 0.003028 | 0.930667 +/- 0.015365 | 0.069292 +/- 0.019041
semantic_lna_single        k2=4     | 0.978385 +/- 0.003165 | 0.931167 +/- 0.015861 | 0.069292 +/- 0.019041
semantic_lna_single        k2=5     | 0.979593 +/- 0.004007 | 0.931500 +/- 0.016394 | 0.071428 +/- 0.020619
semantic_lna_random_single k2=0     | 0.922927 +/- 0.032934 | 0.888167 +/- 0.023094 | 0.027497 +/- 0.024182
semantic_lna_random_single k2=1     | 0.931238 +/- 0.029138 | 0.902000 +/- 0.024663 | 0.043370 +/- 0.005591
semantic_lna_random_single k2=2     | 0.938747 +/- 0.024322 | 0.909500 +/- 0.025045 | 0.043370 +/- 0.005591
semantic_lna_random_single k2=3     | 0.944567 +/- 0.021458 | 0.914333 +/- 0.024023 | 0.046016 +/- 0.009272
semantic_lna_random_single k2=4     | 0.951083 +/- 0.017203 | 0.919500 +/- 0.022951 | 0.057387 +/- 0.014890
semantic_lna_random_single k2=5     | 0.955983 +/- 0.014649 | 0.918500 +/- 0.024935 | 0.057387 +/- 0.014890

────────────────────────────────────────────────────────────────
Experiment: fov5_20c8p_r70_extended
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.914188 +/- 0.018443 | 0.862143 +/- 0.025910 | 0.008547 +/- 0.014804
semantic                   1        | 0.958695 +/- 0.008667 | 0.959286 +/- 0.004475 | 0.118827 +/- 0.067461
semantic                   2        | 0.979218 +/- 0.006413 | 0.986071 +/- 0.007380 | 0.612699 +/- 0.048872
semantic                   3        | 0.990311 +/- 0.002471 | 0.998809 +/- 0.000744 | 0.896581 +/- 0.055014
semantic                   4        | 0.996647 +/- 0.001252 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 0.999627 +/- 0.000355 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.914188 +/- 0.018443 | 0.862143 +/- 0.025910 | 0.008547 +/- 0.014804
semantic_random            1        | 0.925703 +/- 0.017291 | 0.889286 +/- 0.021276 | 0.008772 +/- 0.015194
semantic_random            2        | 0.936116 +/- 0.016305 | 0.912024 +/- 0.020632 | 0.027348 +/- 0.026377
semantic_random            3        | 0.943985 +/- 0.014596 | 0.921786 +/- 0.012096 | 0.018268 +/- 0.015825
semantic_random            4        | 0.950669 +/- 0.015240 | 0.933095 +/- 0.015259 | 0.039827 +/- 0.046488
semantic_random            5        | 0.957292 +/- 0.012779 | 0.943095 +/- 0.014959 | 0.060880 +/- 0.030558
semantic_lna               k2=0     | 0.924298 +/- 0.017601 | 0.863333 +/- 0.024987 | 0.000000 +/- 0.000000
semantic_lna               k2=1     | 0.957394 +/- 0.013318 | 0.911167 +/- 0.024214 | 0.037143 +/- 0.035800
semantic_lna               k2=2     | 0.968619 +/- 0.014053 | 0.921500 +/- 0.024140 | 0.097230 +/- 0.048071
semantic_lna               k2=3     | 0.971323 +/- 0.013875 | 0.921667 +/- 0.023861 | 0.097230 +/- 0.048071
semantic_lna               k2=4     | 0.972025 +/- 0.014140 | 0.921667 +/- 0.023861 | 0.097230 +/- 0.048071
semantic_lna               k2=5     | 0.972100 +/- 0.014038 | 0.921667 +/- 0.023861 | 0.097230 +/- 0.048071
semantic_lna_random        k2=0     | 0.924298 +/- 0.017601 | 0.863333 +/- 0.024987 | 0.000000 +/- 0.000000
semantic_lna_random        k2=1     | 0.936079 +/- 0.016526 | 0.883167 +/- 0.023687 | 0.011494 +/- 0.019909
semantic_lna_random        k2=2     | 0.943234 +/- 0.016979 | 0.890667 +/- 0.026274 | 0.034483 +/- 0.034483
semantic_lna_random        k2=3     | 0.950092 +/- 0.017090 | 0.898833 +/- 0.025121 | 0.035334 +/- 0.034515
semantic_lna_random        k2=4     | 0.954848 +/- 0.017156 | 0.904667 +/- 0.024871 | 0.037699 +/- 0.035879
semantic_lna_random        k2=5     | 0.958004 +/- 0.017117 | 0.908833 +/- 0.024116 | 0.037699 +/- 0.035879
semantic_lna_single        k2=0     | 0.923383 +/- 0.017897 | 0.865833 +/- 0.024548 | 0.000000 +/- 0.000000
semantic_lna_single        k2=1     | 0.959652 +/- 0.011337 | 0.913167 +/- 0.018536 | 0.039530 +/- 0.038506
semantic_lna_single        k2=2     | 0.966975 +/- 0.007569 | 0.923167 +/- 0.014003 | 0.108519 +/- 0.048257
semantic_lna_single        k2=3     | 0.969846 +/- 0.008129 | 0.923167 +/- 0.014003 | 0.108519 +/- 0.048257
semantic_lna_single        k2=4     | 0.970096 +/- 0.008034 | 0.923167 +/- 0.014003 | 0.108519 +/- 0.048257
semantic_lna_single        k2=5     | 0.970106 +/- 0.008048 | 0.923167 +/- 0.014003 | 0.108519 +/- 0.048257
